,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned
127,1,168.0,toyota,std,two,sedan,rwd,front,94.5,0.832675222112537,0.8926080892608089,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,29,34,8058.0,8.10344827586207,Low
128,1,168.0,toyota,std,two,hatchback,rwd,front,94.5,0.832675222112537,0.8926080892608089,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,29,34,8238.0,8.10344827586207,Low
129,1,168.0,toyota,std,two,sedan,rwd,front,94.5,0.832675222112537,0.8926080892608089,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600.0,26,29,9298.0,9.038461538461538,Medium
130,1,168.0,toyota,std,two,hatchback,rwd,front,94.5,0.832675222112537,0.8926080892608089,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600.0,26,29,9538.0,9.038461538461538,Medium
131,2,134.0,toyota,std,two,hardtop,rwd,front,98.4,0.8696939782823296,0.914923291492329,52.0,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,30,8449.0,9.791666666666666,Medium
132,2,134.0,toyota,std,two,hardtop,rwd,front,98.4,0.8696939782823296,0.914923291492329,52.0,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,30,9639.0,9.791666666666666,Medium
133,2,134.0,toyota,std,two,hatchback,rwd,front,98.4,0.8696939782823296,0.914923291492329,52.0,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,30,9989.0,9.791666666666666,Medium
134,2,134.0,toyota,std,two,hardtop,rwd,front,98.4,0.8696939782823296,0.914923291492329,52.0,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,30,11199.0,9.791666666666666,Medium
135,2,134.0,toyota,std,two,hatchback,rwd,front,98.4,0.8696939782823296,0.914923291492329,52.0,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,30,11549.0,9.791666666666666,Medium
136,2,134.0,toyota,std,two,convertible,rwd,front,98.4,0.8696939782823296,0.914923291492329,53.0,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,30,17669.0,9.791666666666666,Medium
137,-1,65.0,toyota,std,four,sedan,fwd,front,102.4,0.8667324777887463,0.9274755927475592,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,29,34,8948.0,8.10344827586207,Low
138,-1,65.0,toyota,turbo,four,sedan,fwd,front,102.4,0.8667324777887463,0.9274755927475592,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500.0,30,33,10698.0,7.833333333333333,Low
139,-1,65.0,toyota,std,four,hatchback,fwd,front,102.4,0.8667324777887463,0.9274755927475592,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,27,32,9988.0,8.703703703703704,Low
140,-1,65.0,toyota,std,four,sedan,fwd,front,102.4,0.8667324777887463,0.9274755927475592,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,27,32,10898.0,8.703703703703704,Low
141,-1,65.0,toyota,std,four,hatchback,fwd,front,102.4,0.8667324777887463,0.9274755927475592,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,27,32,11248.0,8.703703703703704,Low
142,3,197.0,toyota,std,two,hatchback,rwd,front,102.9,0.9057255676209279,0.9442119944211994,52.0,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200.0,20,24,16558.0,11.75,High
143,3,197.0,toyota,std,two,hatchback,rwd,front,102.9,0.9057255676209279,0.9442119944211994,52.0,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200.0,19,24,15998.0,12.368421052631579,High
144,-1,90.0,toyota,std,four,sedan,rwd,front,104.5,0.9269496544916092,0.9274755927475592,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200.0,20,24,15690.0,11.75,High
145,2,122.0,volkswagen,std,two,sedan,fwd,front,97.3,0.847482724580454,0.9135285913528591,55.7,2261,ohc,four,97,idi,3.01,3.4,23.0,52,4800.0,37,46,7775.0,6.351351351351352,Low
146,2,122.0,volkswagen,std,two,sedan,fwd,front,97.3,0.847482724580454,0.9135285913528591,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,27,34,7975.0,8.703703703703704,Low
147,2,94.0,volkswagen,std,four,sedan,fwd,front,97.3,0.847482724580454,0.9135285913528591,55.7,2264,ohc,four,97,idi,3.01,3.4,23.0,52,4800.0,37,46,7995.0,6.351351351351352,Low
148,2,94.0,volkswagen,std,four,sedan,fwd,front,97.3,0.847482724580454,0.9135285913528591,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,27,34,8195.0,8.703703703703704,Low
149,2,94.0,volkswagen,std,four,sedan,fwd,front,97.3,0.847482724580454,0.9135285913528591,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,27,34,8495.0,8.703703703703704,Low
150,2,94.0,volkswagen,turbo,four,sedan,fwd,front,97.3,0.847482724580454,0.9135285913528591,55.7,2319,ohc,four,97,idi,3.01,3.4,23.0,68,4500.0,37,42,9495.0,6.351351351351352,Low
151,2,94.0,volkswagen,std,four,sedan,fwd,front,97.3,0.847482724580454,0.9135285913528591,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100,5500.0,26,32,9995.0,9.038461538461538,Medium
152,3,256.0,volkswagen,std,two,hatchback,fwd,front,94.5,0.8178677196446199,0.8926080892608089,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500.0,24,29,9980.0,9.791666666666666,Low
153,-2,103.0,volvo,std,four,sedan,rwd,front,104.3,0.9318854886475815,0.9372384937238494,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,23,28,12940.0,10.217391304347826,Medium
154,-1,74.0,volvo,std,four,wagon,rwd,front,104.3,0.9318854886475815,0.9372384937238494,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,23,28,13415.0,10.217391304347826,Medium
155,-2,103.0,volvo,std,four,sedan,rwd,front,104.3,0.9318854886475815,0.9372384937238494,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,24,28,15985.0,9.791666666666666,Medium
156,-1,74.0,volvo,std,four,wagon,rwd,front,104.3,0.9318854886475815,0.9372384937238494,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,24,28,16515.0,9.791666666666666,Medium
157,-2,103.0,volvo,turbo,four,sedan,rwd,front,104.3,0.9318854886475815,0.9372384937238494,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100.0,17,22,18420.0,13.823529411764707,High
158,-1,74.0,volvo,turbo,four,wagon,rwd,front,104.3,0.9318854886475815,0.9372384937238494,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100.0,17,22,18950.0,13.823529411764707,High
159,-1,95.0,volvo,std,four,sedan,rwd,front,109.1,0.9318854886475815,0.9609483960948396,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,23,28,16845.0,10.217391304347826,Medium
160,-1,95.0,volvo,turbo,four,sedan,rwd,front,109.1,0.9318854886475815,0.9595536959553695,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300.0,19,25,19045.0,12.368421052631579,High
161,-1,95.0,volvo,std,four,sedan,rwd,front,109.1,0.9318854886475815,0.9609483960948396,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500.0,18,23,21485.0,13.055555555555555,Medium
162,-1,95.0,volvo,turbo,four,sedan,rwd,front,109.1,0.9318854886475815,0.9609483960948396,55.5,3217,ohc,six,145,idi,3.01,3.4,23.0,106,4800.0,26,27,22470.0,9.038461538461538,Medium
163,-1,95.0,volvo,turbo,four,sedan,rwd,front,109.1,0.9318854886475815,0.9609483960948396,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,19,25,22625.0,12.368421052631579,Medium
